key,cz,en,ch
aw_mandate_era_sequence,年号沿革,Era sequence,年號沿革
aw_mandate_origin_feudatory_restoration,宗室中兴受命,Dynastic Restoration,宗室中興受命
aw_mandate_claimant_dynastic_restoration,中兴宗室,Restoring Dynast,中興宗室
aw_mandate_origin,来源,Origin,來源
aw_mandate_origin_native,正统受命,Orthodox Mandate,正統受命
aw_mandate_origin_rebel,义军受命,Rebel Mandate,義軍受命
aw_mandate_origin_pseudo_foreign,外族伪朝,Foreign Pseudo Dynasty,外族偽朝
aw_mandate_origin_self_restoration,复国受命,Restored Mandate,復國受命
aw_mandate_claimant,宣称,Claimant,宣稱
aw_mandate_claimant_orthodox,正统王朝,Orthodox Dynasty,正統王朝
aw_mandate_claimant_rebel,农民义军,Peasant Rebel Army,農民義軍
aw_mandate_claimant_foreign_pseudo,入关伪朝,Foreign Entrant,入關偽朝
aw_mandate_marker,地图标识,Map Marker,地圖標識
aw_mandate_original_core,初始法理,Original Legal Cores,初始法理
aw_mandate_rebels,义军,Rebels,義軍
aw_mandate_rebels_none,无,None,無
aw_mandate_occupation,外族占领,Foreign Occupation,外族佔領
aw_mandate_occupation_none,无,None,無
aw_mandate_marker_rebel,义军天命,Rebel Mandate,義軍天命
aw_mandate_marker_pseudo,伪朝天命,Pseudo-dynastic Mandate,偽朝天命
aw_mandate_marker_true,真天命,True Mandate,真天命
aw_hist_rebel_route_founding,选择建国路线, chose the founding route,選擇建國路線
aw_hist_rebel_route_bandit,落草为寇并筑寨, became bandits and fortified a hideout,落草為寇並築寨
aw_hist_bandit_suppression_started,发兵剿匪, began a suppression campaign,發兵剿匪
aw_hist_bandit_converted,改旗建号，转为建国义军, raised a state banner and became founding rebels,改旗建號，轉為建國義軍
aw_hist_bandit_destroyed,山寨被攻破，贼国覆灭, lost its hideout and was destroyed,山寨被攻破，賊國覆滅
