key,cz,en,ch
war_type_aw_normal_war,普通战争,Normal War,普通戰爭
war_name_aw_normal_war,普通战争,Normal War,普通戰爭
war_type_de_jure_war,法理战争,De Jure War,法理戰爭
war_name_de_jure_war,法理战争,De Jure War,法理戰爭
war_type_restoration_war,复国战争,Restoration War,復國戰爭
war_name_restoration_war,复国战争,Restoration War,復國戰爭
war_type_reclaim,收复战争,Reclaim War,收復戰爭
war_name_reclaim,收复战争,Reclaim War,收復戰爭
war_type_vassal_war,附庸战争,Vassal War,附庸戰爭
war_name_vassal_war,附庸战争,Vassal War,附庸戰爭
war_type_tributary_war,叩关战争,Tributary War,叩關戰爭
war_name_tributary_war,叩关战争,Tributary War,叩關戰爭
war_type_independence_war,独立战争,Independence War,獨立戰爭
war_name_independence_war,独立战争,Independence War,獨立戰爭
war_type_tianming,天命战争,Mandate War,天命戰爭
war_name_tianming,天命战争,Mandate War,天命戰爭
war_type_tianmingrebel,义军天命战争,Rebel Mandate War,義軍天命戰爭
war_name_tianmingrebel,义军天命战争,Rebel Mandate War,義軍天命戰爭
war_type_general_rebellion_war,大将叛乱,General Rebellion,大將叛亂
war_name_general_rebellion_war,大将叛乱,General Rebellion,大將叛亂
war_type_fief_independence_war,封地独立战争,Fief Independence War,封地獨立戰爭
war_name_fief_independence_war,封地独立战争,Fief Independence War,封地獨立戰爭
war_type_jingnan_war,藩王靖难,Feudatory Jingnan,藩王靖難
war_name_jingnan_war,藩王靖难,Feudatory Jingnan,藩王靖難
war_type_succession_dispute_war,宗室争位,Dynastic Succession War,宗室爭位
war_name_succession_dispute_war,宗室争位,Dynastic Succession War,宗室爭位
aw_hist_label_succession_dispute_war,宗室争位,Dynastic Succession War,宗室爭位
aw_war_cb_core,核心,Core,核心
aw_war_cb_weak_claim,弱宣称,Weak Claim,弱宣稱
aw_war_cb_strong_claim,强宣称,Strong Claim,強宣稱
aw_war_cb_pending,制造中,In Progress,製造中
aw_war_goal_take_core_city,收复核心城市,Reclaim Core City,收復核心城市
aw_war_goal_press_claim_city,夺取宣称城市,Press City Claim,奪取宣稱城市
aw_war_goal_force_vassal,强制臣服,Force Vassalage,強制臣服
aw_war_goal_independence,脱离宗主,Independence,脫離宗主
aw_war_goal_restore_kingdom,复国,Restoration,復國
aw_war_goal_no_cb,强宣,No CB,強宣
aw_war_targets,战争目标,War Targets,戰爭目標
aw_war_targets Title,战争目标,War Targets,戰爭目標
aw_war_targets_title,战争理由,War Reasons,戰爭理由
aw_war_targets_desc,制造并查看核心与宣称等战争理由,Fabricate and review cores claims and other war reasons,製造並查看核心與宣稱等戰爭理由
aw_war_no_targets,当前没有可用目标,No available targets,目前沒有可用目標
aw_war_fabricate_core,制造核心,Fabricate Core,製造核心
aw_war_fabricate_core_desc,在本国控制的非核心城市制造核心,Fabricate a core in a controlled non-core city,在本國控制的非核心城市製造核心
aw_war_fabricate_weak_claim,制造弱宣称,Fabricate Weak Claim,製造弱宣稱
aw_war_fabricate_strong_claim,制造强宣称,Fabricate Strong Claim,製造強宣稱
aw_war_reclaim,收复核心,Reclaim Core,收復核心
aw_war_reclaim_desc,收复该国占据的核心城市,Reclaim a core city held by the target,收復該國占據的核心城市
aw_war_press_claim,按宣称宣战,Press Claim,按宣稱宣戰
aw_war_press_claim_desc,按强弱宣称发动战争,Start a war using a strong or weak claim,按強弱宣稱發動戰爭
aw_war_force_vassal,强制臣服,Force Vassalage,強制臣服
aw_war_force_vassal_desc,迫使目标成为附庸,Force the target to become a vassal,迫使目標成為附庸
aw_war_goal_force_tributary,叩关纳贡,Compel Tribute,叩關納貢
aw_war_force_tributary,叩关纳贡,Compel Tribute,叩關納貢
aw_war_force_tributary_desc,迫使接壤弱国岁时纳贡但不纳入附庸体系,Compel a weaker neighboring realm to pay annual tribute without entering the vassal hierarchy,迫使接壤弱國歲時納貢但不納入附庸體系
aw_hist_label_tributary_war,叩关战争,Tributary War,叩關戰爭
aw_hist_label_de_jure_war,法理战争,De Jure War,法理戰爭
aw_hist_goal_defender_win,守方胜利,Defender Victory,守方勝利
aw_hist_goal_peace_unresolved,议和未决,Peace Unresolved,議和未決
aw_hist_goal_negotiated_goal_not_enforced,谈判目标未执行,Negotiated War Goal Not Enforced,談判目標未執行
aw_hist_goal_force_tributary,叩关纳贡,Compel Tribute,叩關納貢
aw_hist_event_tributary_set,称臣纳贡,Tributary Submission,稱臣納貢
aw_hist_event_tributary_get,受贡册封,Tributary Received,受貢冊封
aw_hist_tributary_set_mid,向, began paying annual tribute to ,向
